arabizi_sentence,english_translation
Sit l-ghina w la ghina sit,The sound of wealth is better than the wealth itself.
Ba3ed ma sheb waddu 3a l-kitteb,"After he aged, they sent him to school."
L-kelme btetla3 men temm bte2lub damm,A word that leaves the mouth can turn into blood.
Yalli baddo l-7elo yesbur 3ala murro,Who wants sweet things should be patient with bitter things.
Bi l-hay 3inna fi zalemeh kbir seken la 7alo. Esmo Abdo.,In our neighborhood there is an old man who lives alone. His name is Abdo.
Abdo 3ayesh bi uda we7deh.,Abdo lives in one room.
Bi Hayde l-uda fi 7amem w matbakh.,In this room there is a toilet and a kitchen.
Mbayen 3le fa2ir ktir.,He appears to be very poor.
Shefto lamma ana kenit 3am ben2ul ghrade 3ala l-beneyeh li 7ado.,I saw him when I was moving my stuff to the building next to him.
"Min wa2et la téne ba3ti shwayet khudrah, fwekeh, w may.","From time to time I give him some vegetables, fruits, and water."
Ma 3inna dekeneh aribeh min el-beit.,We don't have a shop near the house.
Fi ma7al bas shway b3eed bado siyara ya3ne.,"There is a store but it's a bit far, you need a car."
Kaza marra sa2alto iza be7ib yeje ma3na 3ala el-ma7al ta yeshtre ghrado w ne7na minwaslo.,Several times I asked him if he would like to come with us to the store to buy his stuff and we would deliver it for him.
Bus wala marra eja!,But not even once did he come!
Bi shaher shbat bede2 el-beb w byotla3 Abdo w jeyeb ma3o gateaux sghir.,In February he knocked on the door and Abdo came out carrying a small cake.
2alle ino el-yom 3ido w 7abeb ye7tefel ma3na.,He told me that today is his birthday and he wanted to celebrate with us.
Ana ktir mbasatet!,I was very happy!
"A3adna kilna b udet el-a3de, 3melit shai w 7addaret 3asha khafif.","We all sat in the living room, I made tea and prepared a light dinner."
Sa2alto la Abdo iza 3indo 3ayle.,I asked Abdo if he had a family.
2alle inu marto metit mén kaza sene w 3indo waladen bas ma bya3ref 3anun shi.,He told me that his wife passed away several years ago and he has two children but he doesn't know anything about them.
Wledo taraku lamma metit emon w ma rej3o w ma bya3ref shi 3anun halla2.,"His kids left him when their mother died and never came back, and he doesn't know anything about them now."
Jarrab yfatesh 3layun bi l-hay bas ma 7ada shefun!,He tried to search for them in the neighborhood but nobody saw them!
Sa2alto iza bi7eb se3do fatesh 3layun yemkin 3ala internet.,"I asked him if he would like me to help him search for them, maybe on the internet."
Bi l-hay 3inna fi zalameh kbir 3am yimshe la 7alo. Esmo Heinz.,In our neighborhood there is an old man walking alone. His name is Heinz.
Jiddo Karl-Heinz mjawwaz 3a Heike.,His grandfather Karl-Heinz is married to Heike.
Kil yom Karl-Heinz byimshe te2riban bi kil da3ya.,Every day Karl-Heinz walks in almost every area.
Bi2ool 'Marhabba' w 'Kifak/kifik' la kil 7ada.,He says 'Hello' and 'How are you' to everyone.
A7yanan Karl-Heinz belemm zbele 3an l-2ared.,Sometimes Karl-Heinz collects garbage off the ground.
"3an jdeed, Karl-Heinz sar yemshe ma3 asaye.","Lately, Karl-Heinz started walking with a cane."
"Karl-Heinz ma byimshe ma3 marto, 3ashen hiyye bi l-knise.","Karl-Heinz doesn't walk with his wife, because she is at the church."
Karl-Heinz ktir fit.,Karl-Heinz is very fit.
"Ken ya maken, bi day3et Baskinta l-3ati2a, kenet l-dene gher hal dene.","Once upon a time, in the ancient village of Baskinta, the world was different from this world."
"L-byut min 7ajar, w s2ufa 2armid a7mar, metel ka2inna law7a marsume bi l-2id.","The houses were made of stone, and their roofs of red brick, like a painting drawn by hand."
"Ken kill beit fi shajarat teen, aw karmet 3enab, aw 7atta shajarat tiffe7, kenit ri7a btjannen bi l-kharif.","Every house had fig trees, or grapevines, or even apple trees, and the smell was maddening in autumn."
"L-nes kenu basitīn, w 2lubun safye metel mayyet l-nab3a.","The people were simple, and their hearts were as clear as the spring water."
"Keno yshufo shuru2 l-shams, w yru7o 3a l-7u2ul yizra3o 2ame7, w yehtammo bi l-basatin.","They would watch the sunrise, and go to the fields to plant wheat, and tend to the gardens."
"Kenet l-7ayet 7elwe, bas kamen sa3be, keno ykhafo men l bared masalan.","Life was beautiful, but also hard; they were afraid of the cold for example."
"Kenet baskinta 2isset 7ubb tawile, ben l-nes w l-2ard, ben l-madi w l-7adir.","Baskinta was a long love story, between the people and the land, between the past and the present."
"Ken ya maken, ken fi day3a 3a khaleej mi3wajj.","Once upon a time, there was a village at a crooked creek."
L-nes min day3a ken 3andun 7ayet baseeta.,The people in the village had a simple life.
Ken 3andun 7u2ul 2ame7 w basatin tiffe7 3a l-jabal.,They had wheat and apple fields on the mountain.
Ken fi 2aser serra2 3a l-mayle tene men l-jabal.,There was a thief castle on the other side of the mountain.
Ken esm day3a Krombach.,The name of the town was Krombach.
Ken fi benet zghire esma Layla.,There was a little girl named Layla.
"Men zamen, kenit Layla tru7 3a l-madrase bi l-siyyara ma3 bayya.","A long time ago, Layla used to go to school by car with her father."
"Bi yom men l-eyyem, 3a l-ghada 2alla bayya, lyom 7elo khallina nemshe, bedoon siyara.","One day, at lunch her father told her, today is nice let's walk, without a car."
Layla fer7et kteer bi hal fikra.,Layla was very happy with this idea.
"2abel ma yetla3o men l-beit, Layla lebset jacket bi lon azra2.","Before they went out of the house, Layla wore a blue colored jacket."
Meshyo bi sheri3 7atta weslo 3a l-7adee2a.,They walked in the street until they arrived at the garden.
"3end shajara l-kbire, 2a3ado Layla w bayya ta7ta.","At the big tree, Layla and her father sat under it."
Bayya jeb ma3o kiteb 3an l-7ayawenet.,Her father brought with him a book about animals.
2arala 2issa 7elwe 3an safine fada2iye.,He read her a nice story about a spaceship.
Layla kenit 3am tshuf sama ben l-ghuyoom.,Layla was looking at the sky between the clouds.
Shefit tayyara 3am teer fo2 rasun.,She saw an airplane flying above their heads.
"Ba3den, raa7 bayya ta yishtre ice cream men l-dikene l-2aribe.","Then, her father went to buy ice cream from the nearby store."
bade ma7al akbar ta 3eesh.,I need a bigger place to live.
Mbere7 re7et men Chicago 3a Seattle bi tayyara.,Yesterday I went from Chicago to Seattle by plane.
L-tayyara kenit 3am teer fo2 kteer diya3.,The plane was flying above many villages.
Kenit 3am shuf fo2 fada2 w njoom.,I was looking up at space and stars.
"Bi leil kenit 3am shuf ta7et, diya3 mittel njoom.","At night I was looking down, villages like stars."
"Samira madame 3inna bi l-7ay, fét7a salon 7le2a sitété.","Samira is a lady in our neighborhood, she opened a hairdressing salon for ladies."
Kil niswén yalli bi l-7ay bizabto cha3run 3anda.,All the women in the neighborhood fix their hair at her place.
Samira ktir shatra bi shighla w milsné w kil nes bi7ibbuha.,Samira is very skilled at her work and diplomatic and everyone loves her.
"Bas lyom Samira shway m3asbé, tkhana2et ma3 binta Marianne, w hiyyé fallét men lbeit w ma 7ada bya3ref la wen ra7et.","But today Samira is a bit angry, she fought with her daughter Marianne, who left the house and no one knows where she went."
Samira 7eket khayya bi darak w 2alitlo ya3mul bayen barké ykun 7ada khatafa la sama7allah.,"Samira spoke to her brother at the police and told him to make a report, maybe someone kidnapped her, God forbid."
"Samira kheyfé w mish 3arfé shu lezim ta3mul, w kl nes 7adda w l-jiran jehzin ya3mlo aya shi ta yse3duwa.","Samira is afraid and doesn't know what she should do, and everyone is next to her and the neighbors are ready to do anything to help her."
Ana mabsuta bi l-ghrad l-jdéd yalli jibtun la l-matbakh.,I am happy with the new stuff I brought for the kitchen.
"Ma ken 3andé jat kbir la salad, wala sa7en kbir lal batata l-mi2liyé.","I didn't have a big bowl for salad, nor a big plate for the fried potatoes."
"Wlédé ktir bi7ibbo lbatata lmi2iliyé, kamena bifaddlo rez ma3 laban.","My children love fried potatoes very much, they also prefer rice with yogurt."
Ana be2la2 li2an b7ebb ta3miyun khudra mn kil l-2achkel w l-2alwen.,I feel worried because I like to feed them vegetables of all shapes and colors.
Jawzé byiz3al minné iza ma fi sa7en Tabulé kl yom 3a l-ghada.,My husband feels sad with me if there isn't a plate of Tabbouleh every day at lunch.
Ana ktir b7éb Tabulé kamena bas b3asseb li2an ma 3andé wa2ét 2a3mila.,I love Tabbouleh very much too but I feel angry because I don't have time to make it.
2awlkun chu l-7al la hayda l-mawdu3 sa3eb.,In your opinion what is the solution to this difficult subject.
Ana ktir m7amass la 3erse.,I am very excited for my wedding.
Bas fi ishiya ktir ta 2ela2 3laya.,But there is a lot to be worried about.
Ana m3assab li2an l-fleurist ma talfanet ele.,I am angry that the florist hasn't called me.
Ana te3ben li2an kenit ktir 3amtet.,I am tired because I have been planning a lot.
Ana mabsoot li2an gateau ktir tayeb.,I am happy our cake is delicious.
"Lama ana kinit sghire, 7abet mumasselet cinema hindiye ktir.","When I was little, I loved an Indian movie actress very much."
Isma Madhuri Dixit.,Her name is Madhuri Dixit.
7abeta le2ano hiyye ra2isa 7ilwe ktir.,I loved her because she is a very beautiful dancer.
7deret kil l-movies tab3ula w tmanet kun metla.,I watched all her movies and wished to be like her.
7abet er2us kamena fa hiyye kenit l-inspiration kbire tab3ule.,I also loved to dance so she was my big inspiration.
Hiyye kenit mashhoora min zamen bi l-movies min l-bollywood.,She was famous a long time ago in Bollywood movies.
Style ra2es tab3ula ken khaleet men ra2es gharbe w hinde.,Her dancing style was a mix of western and Indian dancing.
Fakaret ino de7keta aktar shi 7ilo bi shakla.,I thought that her smile was the most beautiful thing about her appearance.
Aghaniya keno mashooreen ktir.,Her songs were very famous.
Hiyye ba3da 3ayshe.,She is still alive.
Sekne bi Mumbai.,She lives in Mumbai.
"Ma be7dar movies min l-bollywood ba2a, bas 3ande zekrayet ktir la Madhuri Dixit.","I don't watch Bollywood movies anymore, but I have many memories of Madhuri Dixit."
"Lama kenet sghir, kenet nem bi l-beit bi almaniya w u3a bi libnen!","When I was little, I would sleep in the house in Germany and wake up in Lebanon!"
Bas ma kenet 3aref inno ana bi libnen.,But I didn't know that I was in Lebanon.
Ana kenet 3aref inno ana bi beit jidde.,I knew that I was at my grandfather's house.
"Ana ma kenet 3aref ligha, bas kenet 3aref inno hayde lighat teta w jiddo.","I didn't know the language, but I knew that this was my grandmother and grandfather's language."
"Kenet teta ta3mool atyab batata me2liye, w ana kenet ekul batata me2liye ktir.","My grandmother used to make the most delicious fried potatoes, and I would eat a lot of fried potatoes."
"Kil yom ana kenet ru7 3ened cousin Elie, w kinna nru7 n2awes bi l-barrude.","Every day I would go to my cousin Elie's place, and we would go shoot with the gun."
Ba3den ana ken bade soo2 siyara adime.,Then I wanted to drive an old car.
"Ba3ed dohor, 3amtou Nazha kenet teje w nihrab aghwe.","In the afternoon, aunt Nazha would come and we would escape from her."
Refee2te Randala 3amle gateau lebnene bi 2ida bi beita.,My friend Randala makes handmade Lebanese cake at her house.
Ism l-gateau Lazy Cake.,The name of the cake is Lazy Cake.
Hiyye 3amelet khamseen 2ot3a la l-event tab3ule l-jim3a l-made.,She made fifty pieces for my event last week.
Hiyye kteer bet7eb ta3mul lazy cakes.,She really loves making lazy cakes.
Ratabet l-event sghir bi 2ide l-jim3a l-made.,I organized the small event by myself last week.
"Ken badde a23mul jaw, fa zabeyene fata7o a7adis 3an marad l-cancer.","I wanted to create an ambiance, so my clients opened conversations about cancer disease."
"Ana w aktar zabayene 7assayna bi ahamyet hayda l-mawdu3, w deyman mne7ke 3an hayda topic bi sfuf.","Me and most of my clients felt the importance of this subject, and we always talk about this topic in classes."
Fa ken 3ande fikra ta 7ader l-event min sitt shuhoor.,So I had an idea to prepare the event six months in advance.
"Men shahren 7kit ma3 zboonte Lisa, w 2ararna ta n7ader ma3 ba3ed.","Two months ago I talked with my client Lisa, and we decided to prepare it together."
L-event ken khass ktir.,The event was very special.
3inna aktar min tleteen zboone.,We had more than thirty clients.
7akime 3atet presentation 3an l-cancer.,A doctor gave a presentation about cancer.
Ken educational ktir.,It was very educational.
Kil nes t3allamo ktir.,Every person learned a lot.
Kamen 7adaret goodie bag la l-kil.,I also prepared a goodie bag for everyone.
Kil shi bi goodie bags ken min local female businesses bi Beirut.,Everything in the goodie bags was from local female businesses in Beirut.
W 3atayna part men l-masare la Cancer house.,And we gave part of the money to Cancer house.
Kil l-sittet keno mabsooteen ba3ed l-event.,All the ladies were happy after the event.
W ana kinit mabsoota kamen.,And I was happy as well.
Bi Seattle fi cancer research house ismo Fred Huth.,In Seattle there is a cancer research house called Fred Hutch.
"Kil sene, Fred Hutch ratab l-bike ride ta yejma3 tabaru3at.","Every year, Fred Hutch organizes the bike ride to gather donations."
L-bike ride fiyo miyye kilometres w bru7o 3a Lake Washington.,The bike ride is a hundred kilometers and they go to Lake Washington.
"Kil sene, Fred Hutch yejma3 3ashret alef dollar la cancer research.","Every year, Fred Hutch gathers ten thousand dollars for cancer research."
Fred Hutch 7addo l-I5 freeway w Lake Union.,Fred Hutch borders the I5 freeway and Lake Union.
Fi kteer marda cancer 3a Fred Hutch bi Seattle.,There are many cancer patients at Fred Hutch in Seattle.
Lama ana kenet sghire 7abet l-2rood kteer.,When I was little I loved monkeys a lot.
Ana ken bade a3mul ikhtisasiyet 2rood.,I wanted to become a monkey specialist.
Ana 3am itzakkar ino ken 3ande le3ab 2rood.,I remember that I had monkey toys.
7abaytun kteer.,I loved them a lot.
Lama kenet sefer ana kenet ekhudun ma3e.,When I traveled I used to take them with me.
Ana w khayye kena nel3ab bi le3ab l-2rood.,Me and my brother used to play with the monkey toys.
"3milna 3alam kemil men l-2rood, bi l-madrase w l-beit w l-mat3am w l-jyoob.","We made a whole world out of the monkeys, in the school and the house and the restaurant and the pockets."
"Men bayn kill l-2rood, 2erde l-mufaddal esmo ""EE"" le2ano ken 3ando kteb bi 2albo, fa ken ya3mul sot ""EE"".","Among all the monkeys, my favorite monkey was named ""EE"" because it had a book inside it, so it made the sound ""EE""."
"Bas bi yom men l-iyem, ana kenet msefra ma3 3aylte, fa l-police jabaro ahle ynabsho le3ab le2ano fakkaro ino sot ""EE"" huwe 2enble.","But one day, I was traveling with my family, so the police forced my parents to search the toys because they thought the sound ""EE"" was a bomb."
"W hek ""EE"" sar maftoo7 w ana bkeet kteer bi wa2ta.","And so ""EE"" got opened and I cried a lot at that time."
Bas huwe ba3do 3ayesh.,But it is still alive.
Seken bi beit emme.,It lives in my mom's house.
"Ma b7eb l-2rood kteer ba2a, bas 3ande zekrayet kteer la l-2rood w l-al3ab yalli kinna nel3aba.","I don't love monkeys much anymore, but I have many memories of monkeys and the games we used to play."
Ana 3azamet kil nes yalli b7ebun.,I invited all the people I love.
Min yalli 3am yghane?,Who is singing?
Ana 2reet bi l-kteb yalli 2elet 3anno.,I read the book that you told me about.
Fakaret ino beitik kbeer.,I thought your house was big.
Jawzik 2alle ino ente marida.,Your husband told me that you are sick.
Sara shefit ino l-2akel kteer 3layna.,Sara saw that the food was too much for us.
Ana b7eb yalli b7ebo l-7ayawenet.,I like the one who loves animals.
L-goodies yalli 3ataytina yehun kteer 7ilween.,The goodies that you gave us are very nice.
Ma tghadda mberi7 le2an huwe ken metghadde.,He didn't have lunch yesterday because he had already eaten lunch.
Ma tghadda mberi7 3ashen ken metghadde.,He didn't have lunch yesterday because he had already eaten lunch.
Ma tghadda mberi7 le2ano ken ekil.,He didn't have lunch yesterday because he had already eaten.
Ma tghadda mberi7 3asheno ekil.,He didn't have lunch yesterday because he had eaten.
Ma tghadda mberi7 le2an mish ju3an.,He didn't have lunch yesterday because he wasn't hungry.
Ma tghadda mberi7 3asheno ma ken ju3an.,He didn't have lunch yesterday because he wasn't hungry.
Ma tghadda mberi7 le2ano mareed.,He didn't have lunch yesterday because he is sick.
Ma tghadda ma3na mberi7 le2ano ken mashghul.,He didn't have lunch with us yesterday because he was busy.
Kinna bi aleb siyara lama sar l-7ades.,We were inside a car when the accident happened.
Fetna bi aleb l-museum.,We entered inside the museum.
"Ana tghaddet ma3 teta w jiddoh, lia2an be7ebun.","I had lunch with grandma and grandpa, because I love them."
Ana b7eb l-7ayawenet yalli b7ebo nes.,I love the animals that people love.
Ma bade rou7 3al shoghol li2an ana ktir ta3ben.,I don't want to go to work because I am very tired.
Rana 3am t2ade wa2et 3a laptop 3ashen 3anda shighil.,Rana is spending time on the laptop because she has work.
Lesh 3am yebke Rami? Li2an we2e3 3al 2ared.,Why is Rami crying? Because he fell on the ground.
Lesh huwe ze3len? Li2an sefar ebno.,Why is he sad? Because his son traveled.
Deyman el-m3alme bt2elna nes2al aktar 3ashen net3lam.,The teacher always tells us to ask more questions because we want to learn.
Lahza bade ektub ra2em Jana 3a daftar 3ashen ma ensa.,"Wait, I want to write Jana's number on the notebook so I don't forget."
"l-shay atyab men l-2ahwe, 3ashen dayman bishrabo subu7.","Tea is more delicious than coffee, that's why they always drink it in the morning."
Badna nro7 3ala mat3am Yabani li2an badna nekol sushi.,We want to go to a Japanese restaurant because we want to eat sushi.
"Ma fiye e7dar Netflix, abdan li2an ma 3ande wa2et.","I can't watch Netflix, ever, because I don't have time."
Lebnen ktir 7ilo! 3ashen l-ba7er b3eed d2i2a 3an l-jabal.,Lebanon is very beautiful! Because the beach is only one minute away from the mountain.
Shu lezim a3mol ta ysir jesme so77e?,What should I do in order to have a healthy body?
Law sama7et 3tine l-kerse ta e23ud.,Please give me the chair to sit on.
ra7 edros lyom ktir mni7 ta enja7.,I am learning very well today to succeed.
Ma fiye a3mol research hala2 li2an ma ma3e laptop.,I can't do research now because I don't have my laptop with me.
Ma badna neje 3al shighil lyom li2an fi talej barra.,We don't want to come to work today because there is snow outside.
Lesh lebsin fasatin? Ta nrou7 3a l-3eres.,Why are y'all wearing dresses? In order to go to a wedding.
3atine 3waynete 3ashen shuf mni7!,Give me the glasses because I want to see well!
Bade ekhud dawa 3ashen ktir marid.,I want medicine because I am sick.
Meen hayda? Hayda yalli rebe7 l-jeyze.,Who is this? This is the one who won the reward.
Lezim nshteghel kelna sawa ta nkhlas bi ser3a.,We all need to work together in order to finish quickly.
Sama ray7a 3al sou2 ta tjeeb ghrad.,Sama is going to the market to get groceries.
Min Messi? Yalli jeb goal?,Who is Messi? The one who scored a goal?
Bade nem bakeer ta Hu fi2 bakir.,I want to sleep early in order to wake up early.
Shefte Sara yalli 7amle jaride?,Did you see Sara who is carrying a newspaper?
"Bukra 3otle, bade fi2 bakir ta a3mol ryada.","Tomorrow is a holiday, I want to wake up early to work out."
Min yalli 3am yghanne bi l-7afle?,Who is the one singing at the party?
Wen festane yalli jebto mbere7?,Where is my dress that I bought yesterday?
3am erkod ta la7e2 l-bus.,I'm running to catch the bus.
"Ana 3am ru7 3a l-baher, ta la7et itsayyad samak.",I'm going to the sea in order to catch fish.
"Ba3den, betbukh samak ma3 toum w a3sheb.","Then, I cook fish with garlic and herbs."
Ana btayyer drone ta ekhud soura.,I fly a drone in order to take a picture.
Lamin hayde drone yalli 3am teer?,Whose is this drone that is flying?
Hayda sa7be yalli btayyer drone.,This is my friend who flies a drone.
Wlede l-tnen kteer mekhtelfeen.,My two kids are very different.
"L-subu7 lama keno 3am yetrawa2o, l-tnen ken 3andun mashe3er mekhtelfe.","In the morning when they were eating breakfast, the two of them had different feelings."
Ibne lkbeer esmo Lucas ken kteer jadde.,"My older son, his name is Lucas, was very serious."
Huwe ken 3am yfakker 3an l-examen.,He was thinking about the exam.
Huwe ken 3am yedrus men jim3ten.,He has been studying for two weeks.
"Huwe ma 3am ye7ke 3a tirwee2a, w kamen huwe ken kteer hayde.","He wasn't talking during breakfast, and also he was very quiet."
"Bi nafes l-wa2et, ibne l-sgheer esmo Dany ken kteer m7ammas.","On the other hand, my younger son, his name is Dany, was very excited."
Dany b7eb ykun mahdum.,Dany likes to be funny.
Huwe ken 3am yjarreb yda77ek Lucas.,He was trying to make Lucas laugh.
Bass Lucas kteer nza3aj.,But Lucas felt very annoyed.
Huwe 2al la Dany hayda mish wa2et la de77ek.,He told Dany this is not the time to laugh.
"Sa7 Dany b7eb yetse2al, khassatan ma3 khayyo Lucas.","It's true Dany likes to be annoying, especially with his brother Lucas."
"Dany b7eb ykun walad sgheer, huwe ma bado yekbar.","Dany likes to be a young kid, he doesn't want to grow up."
"Bi nafes l-wa2et, Lucas ma fiyo yentor ta yekbar.","On the other hand, Lucas can't wait to grow up."
Bass ana be2la2 ino hinne ykuno mabsooteen deyman.,But I worry that they should always be happy.
Ana ze3len li2an rif2et marte ma3a cancer.,I'm sad because my wife's friend has cancer.
Emme mabsoota li2an ra7 ru7 3a almania.,My mom is happy because she will go to Germany.
Ma3assab li2an bru7 3a shighle ba3ed saf arabe.,I'm angry because I go to work after Arabic class.
M7amass li2an ra7 ru7 3a almania bukra.,I'm excited because I will go to Germany tomorrow.
2el2an lama bade ishtighl min almania.,I'm worried when I want to work from Germany.
Te3ben ino ma 3am e7ke arabe.,I'm tired that I'm not speaking Arabic.
Spiros sa2eel w mahdum.,Spiros is annoying and funny.
Mudire ktir mez3ej.,My manager is very annoying.
Ana kheyef menno.,I am afraid of him.
Ana bkhaf menno.,I am afraid of him.
Spiros bida7ekne.,Spiros makes me laugh.
Hayde l-jim3a ni7na 3am n7ader re7le ma3 3ayletna.,This week we are preparing a trip with our family.
"Ray7een 3a 3oman, w ni7na mabsooteen.","We are going to Oman, and we are happy."
7a e7juz hotel sghir bi l-day3a terikhiye bi l-jabal.,I will reserve a small hotel in an ancient village in the mountain.
Hayda ma7al turasey ktir.,This is a very traditional place.
L-hotel 2arib min l-falaj w kamen l-souq l-2adim.,The hotel is near the falaj and also the old market.
"Ana 7a rateb khetet ri7le, fiya kamen aya ma7alet ni7na 7a nzoor.","I will organise the trip plans, including which places we will visit."
"Ni7na 7a neskun bi hayda l-hotel la yomen w b3aden, 7a nru7 la hotel tene.",We will stay in this hotel for two days and then we will go to another hotel.
"Y3ane, mish hotel, l-ma7al tene huwe beit 3anjad.","I mean, not a hotel, the second place is actually a house."
"Hayda l-beit bi l-jabal kamen, ino l-fare2, hayda b3eed ktir 3an l-madine.","This house is also in the mountain, the difference is that this one is very far from the city."
Ni7na 7a neskun honik la yomen kamen.,We will stay there for two more days as well.
"Sa7eb beit, 7a yta3mena tirwee2a w 3asha kil l-yom.",The landlord will feed us breakfast and dinner every day.
"Sa7eb l-beit, saken honik kil l-7ayeto fa huwe by3aref kil l-ma7alet ta nzoora, lama nru7 la honik.",The landlord has lived there all his life so he knows all the places to visit when we go there.
Ktir 7elo.,Very nice.
"7a n3amul hike sghir ma3 wledna w ba3ed l-hike, 7a nru7 ta7et la l-lake ta nesba7.","We will have a little picnic with our kids and after the picnic, we will go down to the lake to swim."
Min 3emel le3bet l-SIMS?,Who made the game SIMS?
Will Wright shab amerke sekin bi Georgia.,Will Wright is an American guy who lives in Georgia.
Huwe 2arrar ya3mul le3be 3an namel le2an ken y7eb 7ayetun kteer.,He decided to make a game about ants because he loved their life very much.
Fi marra sar fi 7aree2 7add bayto.,Once there was a fire next to his house.
Sar l-7aree2 y2arreb shway shway.,The fire started getting closer little by little.
Talfan 3a taware2 w talab l-muse3ade.,He called the emergency line and asked for help.
Bass l-muwazafe 2alet elo ino shorta msaytra 3a l-7aree2.,But the employee told him that the police were in control of the fire.
"Ba3ed shway sar l-wade3 kteer khateer, fa dab l-ghrad l-mohemme w fall huwe w marto.","After a while the situation became very dangerous, so he gathered the important stuff and left with his wife."
3a taree2 tzakkar ino nese tnen kbar bi l-3umur ma3 bebe sgheer 3umro sinten.,On the road he remembered that he forgot two elderly people with a small baby who is two years old.
Hole jirano.,Those are his neighbours.
Fa reje3 w akhadun ma3o.,So he came back and took them with him.
"Ba3ed fatra, reje3 Will 3a l-7ay ma3 ezen men l-police, le2an l-manta2a ken ba3da ta7et l-khatar.","After a while, Will came back to the neighbourhood with permission from the police, because the area was still under danger."
Will shef namel 3am yerja3 yebne bayto ma3 ino l-beit ken mdammar kulliyan.,Will saw ants coming back to build their house even though the house was totally destroyed.
Fa 2arrar Will ya3mul le3be 3an namel.,So Will decided to make a game about ants.
"Hiyye community kemle fiya kbar w sghar w pets, b3eesho sawa, bseer ma3un mashaykil w lezim la3eebe yjarbo yle2o 7all.","It is a complete community with adults, children and pets, they live together, problems happen with them and players need to try to find a solution."
"Hayde le3be saret bi souq sinet 2000, w nes kteer 7abuwa.","This game was released on the market in the year 2000, and many people loved it."
Bseer fi disneyland bi dubai ba3ed sinten.,There will be a Disneyland in Dubai in two years.
Bseer tighyeer bi l-plan ha jim3a.,There will be a change in the plan this week.
Anisha betseer ti7ke 3arabe a7san w a7san.,Anisha is becoming better and better at speaking Arabic.
"Lama ana kenet sgheer, ana ken bade seer pilot.","When I was little, I wanted to become a pilot."
"Bi shite, l-eyyem bseero 2asar w berdeen.","In winter, the days become short and cold."
"Lama rabee3 yeje, talej bseer may berde w l-wrood btseer meshr2a w jdide.","When spring comes, the snow becomes cold water and the flowers become bright and new."
"Shajrat btseer malyene wara2 akhdar, w 3asafeer bseero nashiteen marra tene.","The trees become full of green leaves, and the birds become active again."
"Nes bseero mabsooteen lama yshoofo shames, w wled bseero m7ammaseen ta yel3abo barra.","The people become happy when they see the sun, and children become excited to play outside."
"Lama Seif yeje, l-subbu7 sar defe w masa sar taweel.","As summer arrives, the mornings become warm and the evenings become long."
"2ariban, l-iyyem defe ra7 tseer zikrayet, w l-cycle ra7 tseer jdide 3an jdid sinet l-jaye.","Soon, the warm days will become memories, and the cycle will become new again next year."
"Ma Fiye, ana jeeb siyyara marra tene.","I can't, I bring the car again."
Daraset bachelors degree tab3ule bi jem3a bi Fransa.,I studied my bachelor's degree at a university in France.
3amelet bachelors degree bi life sciences bi Sophia's college.,I did a bachelor's degree in life sciences at Sophia's college.
Kenet awal marra ino ana beskun la 7ale b3eed 3an ahle.,It was the first time that I lived by myself far from my parents.
Kenet ktir m7ammase ta fell 3a Fransa w eskun bi madine jdide.,I was very excited to leave for France and live in a new city.
Ahle ken baddun ino dall bi hostel 7add l-jem3a.,My parents wanted me to stay in a hostel next to the university.
Ken 3omre sabata3eshar sine.,I was seventeen years old.
L-hostel ken fiyo ta2riban miyyet benet.,The hostel had almost a hundred girls.
Ken fiyo banet min mudon mikhtilfe min Fransa.,It had girls from different cities of France.
Bas shweyet banet ino keno international.,But only a few girls were international.
"Ba3ed ma ahle se3dune ta zabet ghrade bi l-uda, w bass fallo, tzakaret ino 7asset 7ale mwattara.","After my parents helped me to organise my stuff in the room, and once they left, I remember that I felt worried."
Ma kenet a3ref 7ada men yalli keno ma3e bi l-hostel.,I didn't know any person of those who were with me in the hostel.
Kil shi ken jdeed.,Everything was new.
Kif 7alik?,How are you?
"Lamma ken 3umre sitta3shar sine, ken 3and internship ma3 Lufthansa Technik.","When I was sixteen years old, I had an internship with Lufthansa Technik."
L-internship ken jim3ten ma3 fanni tayyarat.,The internship was two weeks with an aircraft technician.
Awal yomen ana w shabeb kenna nshtighil ma3 fanni tayyarat bas ba3den ne7na kenna nstighil wen ma ken bi airport Frankfurt.,"The first two days, the guys and I were working with an aircraft technician, but afterwards we were working wherever, at Frankfurt airport."
"Awal shi, ana kenit ishtighil ma3 fanni tayyarat, nsalle7 kirse l-pilot bi cockpit.","First, I was working with an aircraft technician, repairing the pilot's seat in the cockpit."
Ba3den ana kenit ishtighil ma3 sabe l-warshe.,Then I was working with the workshop boy.
Sabe l-warshe bjeeb l-adawet la shabeb yalli 3am ysalle7o tayyarat.,The workshop boy brings the tools for the guys who are repairing aircraft.
"Lamma sabe l-warshe w ana ma kenna 3am nshtighel, talfanna la sabe soup.","When the workshop boy and I weren't working, we called for soup."
"Bi gheir yom, kenet 3am eshtighel ma3 sabe yalli bysoo2 tayyara.","On another day, I was working with the boy who drives the plane."
"Ni7na kenna 3am nsoo2, w ana ma3o, l-Airbus A380 min l-gate 3a l-hangar.","We were driving, with me alongside him, the Airbus A380 from the gate to the hangar."
"Ba3den ana ken lezim ru7 3a cockpit, fa ana re7et 3a cockpit.","Then I had to go to the cockpit, so I went to the cockpit."
